"card_holder_id","card_number","small_transaction"
1,"3517111172421930",7
1,"4761049645711555811",3
2,"4866761290278198714",5
2,"675911140852",6
3,"30078299053512",3
4,"4263694062533017",4
4,"584226564303",12
5,"4276466390111",5
5,"4268491956169254",9
6,"3581345943543942",2
6,"4159836738768855913",4
7,"3516952396080247",10
7,"4539990688484983",8
8,"4834483169177062",7
8,"30063281385429",9
9,"30181963913340",3
10,"4962915017023706562",9
10,"4165305432349489280",6
10,"213193946980303",5
11,"180098539019105",11
11,"4644008655884311378",5
11,"4027907156459098",6
12,"501879657465",8
12,"5297187379298983",5
12,"376027549341849",13
13,"4711773125020499",4
13,"5135837688671496",6
13,"3561954487988605",9
14,"5175947111814778",9
15,"4723783028106084756",6
15,"6500236164848279",6
16,"503842928916",9
16,"5570600642865857",2
16,"5500708021555307",8
17,"6011987562414062",4
18,"4498002758300",8
18,"344119623920892",11
19,"4743204091443101526",10
19,"5361779664174555",4
19,"3561072557118696",8
20,"3535651398328201",4
20,"4506405265172173",7
20,"4586962917519654607",8
21,"4279104135293225293",4
22,"501809222273",7
23,"4741042733274",7
23,"4188164051171486",6
23,"4150721559116778",3
24,"4681896441519",9
24,"30142966699187",4
24,"3582198969197591",9
25,"4319653513507",7
25,"372414832802279",9
